exchange,stock_symbol,date,open,high,low,close,volume,adj close
NYSE,AA,2008-03-05,37.01,37.9,36.13,36.6,17752400,36.6
NYSE,AA,2008-03-04,38.85,39.28,38.26,38.37,11279900,38.37
NYSE,AA,2008-03-03,38.25,39.15,38.1,38.71,11754600,38.71
NYSE,AA,2008-03-02,37.9,38.94,37.1,38.0,15715600,38.0
NYSE,AA,2008-03-01,37.17,38.46,37.13,38.32,13964700,38.32
NYSE,AA,2008-02-29,38.77,38.82,36.94,37.14,22611400,37.14
NYSE,AA,2008-02-28,38.61,39.29,38.19,39.12,11421700,39.12
NYSE,AA,2008-02-27,38.19,39.62,37.75,39.02,14296300,39.02
NYSE,AA,2008-02-26,38.59,39.25,38.08,38.5,14417700,38.5
NYSE,AA,2008-02-25,36.64,38.95,36.48,38.85,22500100,38.85
NYSE,AA,2008-02-24,36.38,36.64,35.58,36.55,12834300,36.55
NYSE,AA,2008-02-23,36.88,37.41,36.25,36.3,13078200,36.3
NYSE,AA,2008-02-22,35.96,36.85,35.51,36.83,10906600,36.83
NYSE,AA,2008-02-21,36.19,36.73,35.84,36.2,12825300,36.2
NYSE,AA,2008-02-20,35.16,35.94,35.12,35.72,14082200,35.72
NYSE,AA,2008-02-19,36.01,36.43,35.05,35.36,18238800,35.36
NYSE,AA,2008-02-18,33.75,35.52,33.63,35.51,21082100,35.51
NYSE,AA,2008-02-17,34.33,34.64,33.26,33.49,12418900,33.49
NYSE,AA,2008-02-16,33.82,34.25,33.29,34.06,11249800,34.06
NYSE,AA,2008-02-15,32.67,33.81,32.37,33.76,10731400,33.76
NYSE,AA,2008-02-14,32.24,33.25,31.9,32.78,9058900,32.78
NYSE,AA,2008-02-13,32.95,33.37,32.26,32.41,7230300,32.41
NYSE,AA,2008-02-12,33.3,33.64,32.52,32.67,11338000,32.5
NYSE,AA,2008-02-11,34.57,34.85,33.98,34.08,9528000,33.9
NYSE,AA,2008-02-10,33.67,34.45,33.07,34.28,15186100,34.1
NYSE,AA,2008-02-09,32.13,33.34,31.95,33.09,9200400,32.92
NYSE,AA,2008-02-08,32.58,33.42,32.11,32.7,10241400,32.53
NYSE,AA,2008-02-07,31.73,33.13,31.57,32.66,14338500,32.49
NYSE,AA,2008-02-06,30.27,31.52,30.06,31.47,8445100,31.31
NYSE,AA,2008-02-05,31.16,31.89,30.55,30.69,17567800,30.53
NYSE,AA,2008-02-04,37.01,37.9,36.13,36.6,17752400,10.6
NYSE,AA,2008-02-03,38.85,39.28,38.26,38.37,11279900,8.37
